Scen_fut,capex_geo_2050_mean,gas_price_2050_median_nonzero,capex_nuc_2050_mean,capex_bess_2050_mean,capex_solar_2050_mean,capex_wind_2050_mean,discount_rate_global,discount_rate_idv_mean,discount_rate_batt_2050,gas_cap_2050,no_gas_2050
Scenario1_102,3609.0237851169854,10.6205736115,5485.1840863947,609.5962925332,1466.7542424115,1466.7542424115,0.09,2631.6255970051707,0.0597925434,0.0,1
Scenario1_103,3677.152819094314,14.748123984,4750.7811743893,455.9418086759,1356.9193194693,1356.9193194693,0.077,2631.6434781768157,0.0939235404,0.0,1
Scenario1_104,3613.4880270287,17.955608363,4921.9938840561,878.9822655038,845.2170452379,845.2170452379,0.111,2631.65830158947,0.1222179868,0.3147935386736814,0
Scenario1_105,3625.3781969152856,8.5210949693,4412.3621380261,451.6405562071,1597.6309545733,1597.6309545733,0.127,2631.6446040816268,0.0960726307,0.0,1
Scenario1_106,3487.7910164439854,10.5280500404,4249.1590452859,803.4861303267,926.6441328944,926.6441328944,0.139,2631.636569239456,0.0807359862,0.0,1
Scenario1_107,3476.3269620542,13.9650335572,4179.2637078413,841.4386458663,1174.675297595,1174.675297595,0.144,2631.6330629515533,0.0740432982,0.0,1
Scenario1_108,3484.8451269144857,9.0748216889,4079.5672088814,472.8308073631,1625.4050568148,1625.4050568148,0.087,2631.6294236130225,0.0670966476,0.0,1
Scenario1_109,3521.006857715,8.1900454109,3960.5026540687,606.8999168974,1107.4197461957,1107.4197461957,0.113,2631.629227241799,0.0667218206,0.0,1
Scenario1_110,3651.9903495190856,16.9440114847,5148.2604287496,434.1114843142,1481.8710975791,1481.8710975791,0.078,2631.629744352224,0.0677088641,0.0,1
Scenario1_111,3676.4909633523284,11.9685977953,4101.5117805539,1163.0045558894,857.5019556999,857.5019556999,0.096,2631.636999686285,0.081557609,3.3716451973633976,0
Scenario1_112,3470.3775977722994,11.1359950457,4004.6755963849,567.2943374747,1110.3028029875,1110.3028029875,0.103,2631.643522236652,0.0940076403,0.0,1
Scenario1_113,3672.0733306710854,15.9612386203,4369.1364495838,678.0426861795,974.0811401814,974.0811401814,0.117,2631.639382915934,0.08610664,0.0,1
Scenario1_114,3610.620873984314,7.4506285346,5912.8726582108,1063.4494706072,1240.0155912813,1240.0155912813,0.085,2631.6224604427894,0.0538055754,2.774063073557304,0
Scenario1_115,3660.0664490029712,14.5589694147,7438.181864158,418.6471228081,804.8469365233,804.8469365233,0.086,2631.641267027549,0.0897029708,0.0,1
Scenario1_116,3674.7900101422424,10.5570628149,5714.4500562597,1101.8490909841,1554.0889844356,1554.0889844356,0.082,2631.623615600367,0.0560105025,3.038705399336896,0
Scenario1_117,3499.0723725353428,11.4201071972,5263.9620671079,440.8755337192,1102.486572446,1102.486572446,0.131,2631.646458703448,0.0996126723,0.0,1
