Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,AnnualVariableOperatingCost,TotalCapacityAnnual,NewCapacity,CapitalInvestment,AnnualFixedOperatingCost,CapitalInvestmentStorage,AnnualTechnologyEmission,TotalTechnologyAnnualActivity,Scen_fut
Scenario1,0,RE1,,BACKSTOP,,2028,,,,,,,,,,,,,0.0,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2028,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2028,,,,,,,,,,,,,,0.0,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2028,,,,,,,,,,,,,,,,,0.0,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2029,,,,,,,,,,,,0.0,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2029,,,,,,,,,,,0.0,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2029,,,,,,,,,,,,,0.0,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2029,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2029,,,,,,,,,,,,,,0.0,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2029,,,,,,,,,,,,,,,,,0.0,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2030,,,,,,,,,,,,0.0,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2030,,,,,,,,,,,0.0,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2030,,,,,,,,,,,,,0.0,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2030,,,,,,,,,,0.0,,,,,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2030,,,,,,,,,,,,,,0.0,,,,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2030,,,,,,,,,,,,,,,,,0.0,Scenario1_0
Scenario1,0,RE1,,BACKSTOP,,2031,,,,,,,,,,,,0.0,,,,,,Scenario1_0
