Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,CapitalInvestment,TotalTechnologyAnnualActivity,TotalCapacityAnnual,CapitalInvestmentStorage,AnnualVariableOperatingCost,AnnualTechnologyEmission,AnnualFixedOperatingCost,NewCapacity,Scen_fut
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2052,,,,,,,,,,,,,,1725.014,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2052,,,,,,,,,,,44.231128,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2053,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2053,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2053,,,,,,,,,,,,,,1651.9623,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2053,,,,,,,,,,,42.358007,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2054,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2054,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2054,,,,,,,,,,,,,,1651.9623,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2054,,,,,,,,,,,42.358007,,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2055,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2055,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2056,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2056,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2057,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2057,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2058,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2058,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2059,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2059,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2060,,,,,,,,,,,,,,,,,999999.0,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_BIOM,,2060,,,,,,,,,,,,999999.0,,,,,,Scenario1_0
Scenario1,0,RE1,,RSA_FUEL_PRO_COAL,RSA_CO2,2020,,,,,,,,,,,,,,,174.34701,,,Scenario1_0
