Strategy,Future.ID,REGION,COMMODITY,TECHNOLOGY,EMISSION,YEAR,TIMESLICE,MODE_OF_OPERATION,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,STORAGEINTRADAY,STORAGEINTRAYEAR,UDC,AnnualTechnologyEmission,NewCapacity,TotalTechnologyAnnualActivity,TotalCapacityAnnual,AnnualVariableOperatingCost,CapitalInvestmentStorage,CapitalInvestment,AnnualFixedOperatingCost
Scenario1,0,RE1,,PWRGEO001,,2029,,,,,,,,,,,0.27348444776261427,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2030,,,,,,,,,,,0.006515552237385758,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2031,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2032,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2033,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2034,,,,,,,,,,,0.02035105905035978,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2035,,,,,,,,,,,0.11964894094964013,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2036,,,,,,,,,,,0.14,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2037,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2038,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2039,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2040,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2041,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2042,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2043,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2044,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2045,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2046,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2047,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2048,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2049,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO001,,2050,,,,,,,,,,,0.04200000000000004,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2019,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2020,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2021,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2022,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2023,,,,,,,,,,,0.035,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2024,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2025,,,,,,,,,,,0.035,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2026,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2027,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2028,,,,,,,,,,,0.03499999999999999,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2029,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2030,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2031,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2032,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2033,,,,,,,,,,,0.0,,,,,,
Scenario1,0,RE1,,PWRGEO002,,2034,,,,,,,,,,,0.0,,,,,,
